row_order,requested_concept_code,target_concept_code,concept_code,standard_concept_name,n_code_target,n_code_no_target,n_target_no_code,n_no_code_no_target,n_target_before_code,n_code_before_target,odds_ratio,log_odds_ratio,total_with_code
41931,target_pcr_positive,target_pcr_positive,31356-past12_recommended-4,"In the last 12 months, participant has: Followed my doctor's recommendations on health screenings (such as mammograms, blood pressure, colonoscopies, etc.)",21,195,17,246,17,195,1.5490683229813664,0.43765366826147306,216
33236,target_pcr_positive,target_pcr_positive,30183-states_specify-33,Participant traveled in the last 14 days to the following: Maryland,2,15,50,459,50,15,1.4675822420951772,0.38361631346338165,17
297,target_pcr_positive,target_pcr_positive,30082-Race-1,Race selected; White,36,358,20,139,20,358,0.6928257985508726,-0.36697668433417135,394
42684,target_pcr_positive,target_pcr_positive,31393-join_why-1,"Participant joined the study, because of: Free COVID Testing",15,214,23,227,23,214,0.6995486782720826,-0.3573198972019789,229
37936,target_pcr_positive,target_pcr_positive,31346-past12mo_tech-2,"In the past 12 months, has used tech to: Monitor health information  (such as blood sugar, blood pressure, heart rate, oxygen, temperature, mood)",12,172,26,269,26,172,0.7369428493300519,-0.30524493480628373,184
37231,target_pcr_positive,target_pcr_positive,31344-devices_own-5,Participant owns a: Home phone (landline),4,65,34,376,34,65,0.7497510786591437,-0.288014022662298,69
36996,target_pcr_positive,target_pcr_positive,31344-devices_own-4,Participant owns a: Mobile phone (not a smartphone),4,39,34,402,34,39,1.3291139240506329,0.28451249769050185,43
42927,target_pcr_positive,target_pcr_positive,31393-join_why-3,"Participant joined the study, because of: Interested in at-home COVID screening",19,251,19,190,19,251,0.757455268389662,-0.2777907949730382,270
53187,target_pcr_positive,target_pcr_positive,32144-DOB_pnta,Participant declines to share Date of Birth,1,16,55,481,55,16,0.7886977886977887,-0.2373720623125791,17
39111,target_pcr_positive,target_pcr_positive,31346-past12mo_tech-998,"In the past 12 months, has used tech to: None of the above",4,59,34,382,34,59,0.8385093167701864,-0.1761295865460335,63
36291,target_pcr_positive,target_pcr_positive,31344-devices_own-1,Participant owns a: Laptop or desktop computer,32,358,6,83,6,358,1.1645746164574617,0.1523558842512352,390
38876,target_pcr_positive,target_pcr_positive,31346-past12mo_tech-6,"In the past 12 months, has used tech to: Other health related purpose",2,32,36,409,36,32,0.863013698630137,-0.14732471475685843,34
38171,target_pcr_positive,target_pcr_positive,31346-past12mo_tech-3,"In the past 12 months, has used tech to: Schedule alerts or reminders to take medication, or monitor health",14,179,24,262,24,179,0.86549940310386,-0.14444859402080765,193
